candidate_id,rank,score,reasoning
CAND_0054123,30,0.847,Strong structural match holding 4.7 YOE as Applied ML Engineer at Meta. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0064904,31,0.847,Strong structural match holding 4.9 YOE as AI Engineer at LinkedIn. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0061339,32,0.845,Strong structural match holding 4.2 YOE as Search Engineer at Rephrase.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0079064,33,0.845,Strong structural match holding 5.2 YOE as Senior Data Scientist at Niramai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0058146,34,0.844,Strong structural match holding 5.1 YOE as AI Research Engineer at PolicyBazaar. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0082489,35,0.843,Strong structural match holding 5.3 YOE as ML Engineer at InMobi. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0000031,36,0.842,Strong structural match holding 6.0 YOE as Recommendation Systems Engineer at Swiggy. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0041594,37,0.841,Strong structural match holding 4.3 YOE as Computer Vision Engineer at Saarthi.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0060303,38,0.84,Strong structural match holding 4.9 YOE as AI Research Engineer at upGrad. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0040117,39,0.839,Strong structural match holding 6.5 YOE as Recommendation Systems Engineer at PhonePe. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0041669,40,0.839,Strong structural match holding 8.0 YOE as Recommendation Systems Engineer at CRED. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0098952,41,0.834,Strong structural match holding 5.5 YOE as AI Research Engineer at CRED. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0044890,42,0.832,Strong structural match holding 5.0 YOE as AI Research Engineer at Haptik. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0043829,43,0.831,Strong structural match holding 4.8 YOE as AI Research Engineer at Observe.AI. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0075249,44,0.831,Strong structural match holding 6.2 YOE as Applied ML Engineer at Zomato. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0004402,45,0.83,Strong structural match holding 6.0 YOE as AI Research Engineer at Yellow.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0076995,46,0.829,Strong structural match holding 4.4 YOE as AI Research Engineer at Haptik. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0036437,47,0.828,Strong structural match holding 4.8 YOE as Search Engineer at Rephrase.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0045250,48,0.828,Strong structural match holding 6.6 YOE as Applied ML Engineer at Rephrase.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0049538,49,0.828,Strong structural match holding 5.8 YOE as Applied ML Engineer at Saarthi.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0052706,50,0.828,Strong structural match holding 5.1 YOE as AI Research Engineer at Swiggy. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0090300,51,0.828,Strong structural match holding 5.3 YOE as AI Research Engineer at Dream11. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0006354,52,0.827,Strong structural match holding 4.5 YOE as Data Scientist at Tech Mahindra. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0037566,53,0.827,Strong structural match holding 6.9 YOE as Machine Learning Engineer at LinkedIn. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0011327,54,0.826,Strong structural match holding 6.3 YOE as AI Research Engineer at Krutrim. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0011643,55,0.826,Strong structural match holding 4.2 YOE as AI Research Engineer at Swiggy. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0041610,56,0.826,Strong structural match holding 6.7 YOE as Recommendation Systems Engineer at Zoho. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0069638,57,0.826,Strong structural match holding 6.2 YOE as Computer Vision Engineer at Swiggy. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0014440,58,0.825,Strong structural match holding 6.4 YOE as Recommendation Systems Engineer at CRED. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0061655,59,0.825,Strong structural match holding 4.6 YOE as Machine Learning Engineer at Krutrim. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0064130,60,0.825,Strong structural match holding 6.7 YOE as AI Research Engineer at Unacademy. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0011162,61,0.824,Strong structural match holding 5.8 YOE as Recommendation Systems Engineer at upGrad. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0044222,62,0.824,Strong structural match holding 7.7 YOE as AI Engineer at PolicyBazaar. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0060315,63,0.824,Strong structural match holding 5.4 YOE as Senior Software Engineer (ML) at Glance. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0081709,64,0.824,Strong structural match holding 5.5 YOE as AI Research Engineer at PolicyBazaar. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0043860,65,0.823,Strong structural match holding 6.1 YOE as Junior ML Engineer at Aganitha. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0018549,66,0.822,Strong structural match holding 6.8 YOE as Recommendation Systems Engineer at Uber. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0010541,67,0.821,Strong structural match holding 6.2 YOE as AI Research Engineer at Wysa. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0044855,68,0.821,Strong structural match holding 6.6 YOE as Senior Data Scientist at Flipkart. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0049771,69,0.821,Strong structural match holding 5.0 YOE as AI Research Engineer at Wysa. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0078042,70,0.821,Strong structural match holding 4.7 YOE as Applied ML Engineer at PolicyBazaar. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0094165,71,0.821,Strong structural match holding 5.8 YOE as AI Research Engineer at PhonePe. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0042029,72,0.82,Strong structural match holding 6.5 YOE as Senior Data Scientist at Flipkart. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0005649,73,0.819,Strong structural match holding 7.4 YOE as Senior Data Scientist at Sarvam AI. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0013665,74,0.819,Strong structural match holding 5.2 YOE as Senior Software Engineer (ML) at InMobi. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0015528,75,0.819,Strong structural match holding 7.4 YOE as Applied ML Engineer at Krutrim. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0029367,76,0.819,Strong structural match holding 5.7 YOE as Senior Data Scientist at Rephrase.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0013613,77,0.818,Strong structural match holding 4.7 YOE as Machine Learning Engineer at Adobe. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0086022,78,0.818,Strong structural match holding 5.3 YOE as Senior Applied Scientist at Sarvam AI. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0098846,79,0.818,Strong structural match holding 7.6 YOE as AI Engineer at upGrad. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0046278,80,0.817,Strong structural match holding 4.6 YOE as Senior Software Engineer (ML) at Dream11. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0049978,81,0.817,Strong structural match holding 6.6 YOE as Senior Software Engineer (ML) at Sarvam AI. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0089470,82,0.817,Strong structural match holding 6.5 YOE as AI Research Engineer at Zomato. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0087316,83,0.816,Strong structural match holding 4.1 YOE as AI Research Engineer at Razorpay. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0010257,84,0.815,Strong structural match holding 6.5 YOE as Senior Data Scientist at Google. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0030031,85,0.815,Strong structural match holding 5.7 YOE as AI Engineer at Microsoft. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0073556,86,0.815,Strong structural match holding 4.4 YOE as AI Research Engineer at Nykaa. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0015967,87,0.814,Strong structural match holding 5.4 YOE as Senior Software Engineer (ML) at Razorpay. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0070525,88,0.814,Strong structural match holding 5.4 YOE as Senior Software Engineer (ML) at Mad Street Den. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0090155,89,0.814,Strong structural match holding 5.8 YOE as ML Engineer at Swiggy. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0061265,90,0.813,Strong structural match holding 6.6 YOE as Recommendation Systems Engineer at Zoho. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0006418,91,0.812,Strong structural match holding 5.7 YOE as Machine Learning Engineer at Verloop.io. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0022852,92,0.811,Strong structural match holding 5.4 YOE as AI Research Engineer at Zomato. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0024878,93,0.811,Strong structural match holding 5.7 YOE as AI Specialist at HCL. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0031593,94,0.811,Strong structural match holding 7.8 YOE as Search Engineer at Genpact AI. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0046526,95,0.81,Strong structural match holding 5.5 YOE as ML Engineer at Ola. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0074123,96,0.81,Strong structural match holding 6.9 YOE as Data Scientist at CRED. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0012957,97,0.809,Strong structural match holding 4.9 YOE as Search Engineer at Razorpay. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0002025,98,0.808,Strong structural match holding 5.9 YOE as Senior AI Engineer at Apple. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0016659,99,0.808,Strong structural match holding 4.4 YOE as ML Engineer at Glance. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0072232,100,0.808,Strong structural match holding 4.0 YOE as ML Engineer at Yellow.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
